,p,p_round,U1
URL,0.019689432371909593,0.0197,45075.0
File,2.6816701271752116e-05,0.0,49205.0
Lines_of_code,4.425628134814542e-26,0.0,62758.5
Require,1.2130124324299097e-06,0.0,49701.0
Ensure,0.04587636823498372,0.0459,45309.5
Include,5.897600167639975e-11,0.0,54594.5
Attribute,2.462323755578972e-17,0.0,58511.5
Hard_coded_string,2.416635936451001e-17,0.0,58419.0
Comment,0.4650613596176112,0.4651,42694.5
Command,2.869811746710784e-07,0.0,49121.5
File_mode,8.353326494365984e-10,0.0,51586.5
SSH_KEY,8.353326494365984e-10,0.0,51586.5
