,p,p_round,U1
URL,0.9708622585171531,0.9709,232305.0
File,4.0914219000129515e-05,0.0,251821.0
Lines_of_code,2.19075721935105e-25,0.0,308236.5
Require,1.9919149120626227e-07,0.0,258628.5
Ensure,3.0094439888910763e-12,0.0,276656.5
Include,6.568466101870547e-13,0.0,283299.5
Attribute,1.0971830638363085e-28,0.0,313147.0
Hard_coded_string,1.345920207805393e-32,0.0,318813.0
Comment,0.8742397879352148,0.8742,233218.0
Command,0.0004163029979155703,0.0004,247227.0
File_mode,0.0003182056753685194,0.0003,247342.5
SSH_KEY,0.00030882957668267714,0.0003,248656.5
