,p,p_round,U1
URL,0.0015909838675783896,0.0016,12730.5
File,2.989697177810304e-07,0.0,14251.5
Lines_of_code,2.8066092931519575e-14,0.0,16446.5
Require,1.1917180827711263e-07,0.0,14360.5
Ensure,3.3288569546298214e-06,0.0,13992.0
Include,2.1495364987657733e-08,0.0,14927.0
Attribute,2.287817207087394e-12,0.0,16004.0
Hard_coded_string,4.053848491149308e-16,0.0,16802.5
Comment,0.0009086724486323063,0.0009,13293.5
Command,0.0005974016219549873,0.0006,12811.0
File_mode,5.537493084863074e-06,0.0,13456.0
SSH_KEY,3.5282565525512204e-06,0.0,13521.0
