,file_,XCM,defect_status
0,puppet-tripleo/manifests/profile/base/neutron/plugins/ml2.pp,"Merge ""Remove manifests for networking-ansible plugin""
Remove manifests for VPP and Neutron ML2/VPP plugin

... because these services are no longer supported by t-h-t. This
allows us to remove puppet-fdio, which looks unmaintained, from
the dependencies.

Depends-on: https://review.opendev.org/864605
Change-Id: Ibe0a59ad3dd9069e9650036cb2af31a3b9ddfb69

Remove manifests for networking-ansible plugin

... because it is no longer supported by t-h-t.

Depends-on: https://review.opendev.org/864607
Change-Id: Ie76536c8e3f80feee09ff5b5f8781e938a6e3e56
",0
1,puppet-tripleo/manifests/profile/base/cinder/volume.pp,"Support for Cinder IBM Svf driver

This patch adds support for Cinder IBM Spectrum virtualize family (Svf)
driver.

Depends-On: I43f954879de6ce70237cb468e7ef1fbc2649edcd
Change-Id: I3c74f492d9d34eb8e16d9a203b5f02714b02f69a
",1
2,puppet-tripleo/manifests/haproxy.pp,"Support deploying additional internal glance-api service

OSSN-0090 [1] recommends deploying two instances of the glance-api
service: a ""user facing"" service, plus an ""internal"" service that is
accessible via keystone's internal endpoint.

To support this, the tripleo::profile::base::glance::api class is
enhanced to allow overriding certain associated glance::api parameters.
This makes it possible to override parameters when including the
glance::api class in order to facilitate configuring two different
instances of the glance-api service, each with their own configuration.

The tripleo::haproxy class is enhanced to provide HA support for running
the internal glance-api service on its own TCP port (defaults to 9293).

[1] https://wiki.openstack.org/wiki/OSSN/OSSN-0090

Change-Id: Ideb5a951d538d9e2c7cca11dfe0e8b99520de959

Fix typos in parameter descriptions, comments and tests

Change-Id: I75b17e41aff3a63b618b6cada01f225f93a4ff4f
",1
3,puppet-tripleo/manifests/profile/base/glance/api.pp,"Support deploying additional internal glance-api service

OSSN-0090 [1] recommends deploying two instances of the glance-api
service: a ""user facing"" service, plus an ""internal"" service that is
accessible via keystone's internal endpoint.

To support this, the tripleo::profile::base::glance::api class is
enhanced to allow overriding certain associated glance::api parameters.
This makes it possible to override parameters when including the
glance::api class in order to facilitate configuring two different
instances of the glance-api service, each with their own configuration.

The tripleo::haproxy class is enhanced to provide HA support for running
the internal glance-api service on its own TCP port (defaults to 9293).

[1] https://wiki.openstack.org/wiki/OSSN/OSSN-0090

Change-Id: Ideb5a951d538d9e2c7cca11dfe0e8b99520de959
",1
4,puppet-tripleo/manifests/profile/base/keystone.pp,"Merge ""Disable keystone domain creation by keystone::ldap_backend""
Fix typos in parameter descriptions, comments and tests

Change-Id: I75b17e41aff3a63b618b6cada01f225f93a4ff4f
",1
5,puppet-tripleo/manifests/fencing.pp,"Merge ""fencing: Remove unused logic to detect deployment type""
fencing: Remove unused logic to detect deployment type

The tripleo::fencing class is used only at host and is not used by
puppet run inside containers. Thus checking the deployment_type fact
is useless and we can always assume the class is executed at host.

Change-Id: I87c78b6d12eeec7c69ed52eac5d6a261ae855aca

Fix typos in parameter descriptions, comments and tests

Change-Id: I75b17e41aff3a63b618b6cada01f225f93a4ff4f
",1
6,puppet-tripleo/manifests/pacemaker/haproxy_with_vip.pp,"haproxy: Remove logic for non-containerized haproxy service

... because current TripleO no longer supports running haproxy service
at host.

Change-Id: Ic21f33d9a1003b32a1724d2bc4672a646afae211
",0
7,puppet-tripleo/manifests/haproxy/endpoint.pp,"Fix typos in parameter descriptions, comments and tests

Change-Id: I75b17e41aff3a63b618b6cada01f225f93a4ff4f
",1
8,puppet-tripleo/manifests/profile/base/heat.pp,"Fix typos in parameter descriptions, comments and tests

Change-Id: I75b17e41aff3a63b618b6cada01f225f93a4ff4f
",1
9,puppet-tripleo/manifests/profile/base/nova.pp,"Fix typos in parameter descriptions, comments and tests

Change-Id: I75b17e41aff3a63b618b6cada01f225f93a4ff4f
",1
10,puppet-tripleo/manifests/profile/base/nova/api.pp,"Fix typos in parameter descriptions, comments and tests

Change-Id: I75b17e41aff3a63b618b6cada01f225f93a4ff4f
",0
11,puppet-tripleo/manifests/profile/base/pacemaker.pp,"Fix typos in parameter descriptions, comments and tests

Change-Id: I75b17e41aff3a63b618b6cada01f225f93a4ff4f
",1
12,puppet-tripleo/manifests/profile/base/rabbitmq.pp,"Fix typos in parameter descriptions, comments and tests

Change-Id: I75b17e41aff3a63b618b6cada01f225f93a4ff4f
",0
13,puppet-openstack-integration/manifests/glance.pp,"Glance: Stop setting native ssl parameters

Glance has already removed support for native ssl support[1]. These
glance::api class parameters were also deprecated and will be removed
during this cycle.

[1] 2a2f349d8a1f0426f77bdbea6c70a316b4c3daa0

Depends-on: https://review.opendev.org/834501
Change-Id: I72fd6841d24197e9c747116437d49911e9c5b8b0
",1
