,name,c2,files,pp_files,forked,c3,no_commits,month_diff,first_commit,last_commit
34,nova,0.0,0,0,1,583.29,16332,28,2010-05-28,2012-09-27
211,magma,0.0,0,0,1,289.75,9272,32,2019-02-23,2021-10-06
4,keystone,0.0,0,0,1,207.6,1038,5,2011-04-14,2011-08-17
170,Virtualization-Documentation,0.0,0,0,1,155.87,5923,38,2014-10-29,2017-12-06
7,tempest,0.0,0,0,1,132.03,4753,36,2011-08-26,2014-08-18
33,openstack-horizon,0.0,0,0,1,86.3,2330,27,2011-01-12,2013-03-12
220,cli,0.0,0,0,1,78.44,6903,88,2013-02-14,2020-06-09
107,puppet-manifests,0.0,0,0,1,43.92,1054,24,2014-03-09,2016-02-25
23,puppetlabs-nova,0.0,0,0,1,29.94,539,18,2011-05-25,2012-11-21
193,container.training,0.0,0,0,1,29.67,1365,46,2015-03-05,2018-12-06
28,puppetlabs-swift,0.0,0,0,1,25.0,175,7,2012-01-20,2012-07-31
27,puppetlabs-stdlib,0.0,0,0,1,24.28,437,18,2011-03-03,2012-08-20
183,docker-salt-formulas,0.0,0,0,1,19.8,99,5,2017-12-28,2018-05-14
10,puppetlabs-openstack,0.0,0,0,1,19.06,343,18,2011-06-17,2012-11-26
19,puppetlabs-keystone,0.0,0,0,1,19.0,152,8,2012-01-02,2012-08-21
222,compose-on-kubernetes,0.0,0,0,1,18.5,222,12,2018-12-04,2019-11-07
88,fuel-agent,0.0,0,0,1,14.94,239,16,2014-07-10,2015-10-17
86,discovery,0.0,0,0,1,14.0,28,2,2015-10-13,2015-11-30
13,puppet-galera,0.0,0,0,1,13.0,13,1,2011-11-01,2011-11-15
22,puppetlabs-mysql,0.0,0,0,1,11.8,177,15,2011-05-25,2012-08-22
36,puppetlabs-cinder,0.0,0,0,1,11.33,34,3,2012-09-09,2012-11-14
15,puppetlabs-glance,0.0,0,0,1,8.27,124,15,2011-06-15,2012-08-22
11,puppetlabs-apt,0.0,0,0,1,6.52,176,27,2010-04-27,2012-07-03
17,puppetlabs-horizon,0.0,0,0,1,5.8,29,5,2012-04-11,2012-08-21
24,puppetlabs-rabbitmq,0.0,0,0,1,5.06,91,18,2011-03-22,2012-08-22
87,fuel-bootstrap-image-builder,0.0,0,0,1,5.0,5,1,2015-10-09,2015-10-09
18,puppet-module-keepalived,0.0,0,0,1,5.0,5,1,2012-06-08,2012-06-14
14,puppetlabs-git,0.0,0,0,1,5.0,5,1,2011-05-25,2011-06-06
49,ruby-openstack,0.0,0,0,1,4.67,70,15,2012-05-23,2013-08-20
21,puppet-mmm,0.0,0,0,1,4.56,41,9,2011-12-07,2012-08-22
16,puppet-haproxy,0.0,0,0,1,4.0,12,3,2012-05-07,2012-07-09
30,puppetlabs-vcsrepo,0.0,0,0,1,3.48,101,29,2010-02-23,2012-06-29
221,libkv,0.0,0,0,1,3.42,311,91,2015-05-12,2022-11-25
20,puppet-memcached,0.0,0,0,1,3.4,34,10,2011-09-13,2012-06-19
26,puppet-ssh,0.0,0,0,1,2.5,30,12,2011-06-09,2012-06-05
229,oscalkit,0.0,0,0,1,2.3,85,37,2018-04-13,2021-04-19
12,puppet-concat,0.0,0,0,1,2.18,61,28,2010-05-06,2012-08-14
200,netshoot,0.0,0,0,1,1.89,66,35,2016-08-23,2019-07-19
83,puppet-kafka,0.0,0,0,1,1.76,58,33,2013-02-22,2015-10-23
25,puppetlabs-rsync,0.0,0,0,1,1.69,44,26,2010-06-28,2012-08-18
31,puppetlabs-xinetd,0.0,0,0,1,1.04,25,24,2010-06-24,2012-06-18
210,testme,0.0,0,0,1,1.0,1,1,2020-01-06,2020-01-06
84,puppet-zookeeper,0.0,0,0,1,0.69,20,29,2013-06-03,2015-10-22
194,docker-get-ucp-job-logs,0.0,0,0,1,0.62,8,13,2017-12-15,2018-12-19
29,puppetlabs-sysctl,0.0,0,0,1,0.58,22,38,2008-01-06,2011-02-18
192,certdump,0.0,0,0,1,0.21,6,29,2016-06-24,2018-11-08
215,mcc-salesforce-collector,0.0,0,0,1,0.0,0,1,0,0
219,vol-test,0.0,0,0,1,0.0,0,1,0,0
100,mos-ci-jenkinsjobs,0.0,0,0,1,0.0,0,1,0,0
82,solar-qa,0.0,0,0,1,0.0,0,1,0,0
228,prodsec,0.0,0,0,1,0.0,0,1,0,0
120,fuel-plugin-lcm-control-repo,0.0,0,0,1,0.0,0,1,0,0
