,file_,XCM
0,profiles/manifests/common/sudo.pp,Initial commit
1,profiles/manifests/puppet/agent.pp,Initial commit
2,profiles/manifests/common/packages.pp,Initial commit
3,profiles/manifests/common/users.pp,Initial commit
4,profiles/manifests/common/users/install.pp,Initial commit
5,profiles/manifests/common/users/shells.pp,Initial commit
6,profiles/manifests/deploy.pp,Initial commit
7,profiles/manifests/firewall/default.pp,Initial commit
8,profiles/manifests/firewall/deploy.pp,Initial commit
9,profiles/manifests/firewall/foreman.pp,Initial commit
10,profiles/manifests/firewall/gitlab.pp,Initial commit
11,profiles/manifests/firewall/ldap.pp,Initial commit
12,profiles/manifests/firewall/post.pp,Initial commit
13,profiles/manifests/firewall/pre.pp,Initial commit
14,profiles/manifests/firewall/puppet.pp,Initial commit
15,profiles/manifests/firewall/purge.pp,Initial commit
16,profiles/manifests/foreman/proxy.pp,Initial commit
17,profiles/manifests/foreman/server.pp,Initial commit
18,profiles/manifests/ftp/server.pp,Initial commit
19,profiles/manifests/hiera.pp,Initial commit
20,profiles/manifests/init.pp,Initial commit
21,profiles/manifests/install.pp,Initial commit
22,profiles/manifests/lldp.pp,Initial commit
23,profiles/manifests/ntp/client.pp,Initial commit
24,profiles/manifests/openstack/cinder.pp,Initial commit
25,profiles/manifests/openstack/keystone.pp,Initial commit
26,profiles/manifests/openstack/neutron/client.pp,Initial commit
27,profiles/manifests/openstack/neutron/server.pp,Initial commit
28,profiles/manifests/openstack/nova/compute.pp,Initial commit
29,profiles/manifests/openstack/nova/controller.pp,Initial commit
30,profiles/manifests/puppet/bootstrap_ca.pp,Initial commit
31,profiles/manifests/puppet/ca.pp,Initial commit
32,profiles/manifests/puppet/db.pp,Initial commit
33,profiles/manifests/puppet/master.pp,Initial commit
34,profiles/manifests/redis.pp,Initial commit
35,profiles/manifests/ssh/server.pp,Initial commit
36,profiles/manifests/yum/default.pp,Initial commit
37,profiles/manifests/yum/foreman.pp,Initial commit
38,profiles/tests/init.pp,Initial commit
