,name,c2,files,pp_files,forked,c3,no_commits,month_diff,first_commit,last_commit
71,profiles,0.7358490566037735,53,39,0,5.0,5,1,2015-07-27,2015-07-28
72,roles,0.6333333333333333,30,19,0,8.0,8,1,2015-07-27,2015-07-28
73,pmlc_nova,0.55,20,11,0,9.0,9,1,2015-07-27,2015-07-30
93,fuel-plugin-celebrer,0.5,30,15,0,26.0,52,2,2015-12-22,2016-01-27
75,pmlc_neutron,0.5,22,11,0,6.0,6,1,2015-07-27,2015-07-30
103,fuel-plugin-standalone-ceph,0.48,31,15,0,2.92,38,13,2015-10-19,2016-11-07
109,fuel-plugin-external-ceph,0.48,25,12,0,2.33,14,6,2016-03-11,2016-08-22
74,pmlc_cinder,0.4615384615384615,13,6,0,2.0,2,1,2015-07-27,2015-07-27
76,pmlc_keystone,0.4,15,6,0,3.0,3,1,2015-07-27,2015-07-28
78,puppet-deployapp,0.4,25,10,0,2.0,2,1,2015-07-29,2015-07-29
77,puppet-foreman_proxy,0.3478260869565217,69,24,0,5.0,5,1,2015-07-27,2015-07-30
102,fuel-plugin-openldap,0.33,52,17,0,3.0,27,9,2015-09-30,2016-06-07
119,fuel-plugin-lcm,0.3023,129,39,0,3.0,3,1,2016-06-28,2016-06-30
96,fuel-plugin-swift,0.238095238095238,21,5,0,11.0,11,1,2015-07-14,2015-07-30
65,puppet-sudo,0.2307692307692307,39,9,0,3.0,3,1,2015-05-15,2015-05-15
97,fuel-plugin-backup,0.1818181818181818,22,4,0,5.44,49,9,2015-03-24,2015-12-23
94,solar-resources,0.1779661016949152,354,63,0,86.45,951,11,2015-03-27,2016-02-12
48,puppet-savanna,0.1425061425061425,407,58,0,7.0,7,1,2013-07-30,2013-08-28
104,fuel-plugin-etckeeper,0.13,23,3,0,2.25,9,4,2016-02-04,2016-05-13
111,fuel-plugin-vxlan-vlan-7,0.12,16,2,0,2.0,26,13,2016-04-11,2017-05-02
67,solar,0.1139240506329113,553,63,0,253.33,2280,9,2015-03-27,2015-12-11
