,name,pp_percentage,c3
0,bashate,0.0,2.05
1,cookiecutter,0.0,1.93
2,devstack,0.0,77.98
3,devstack-plugin-cookiecutter,0.0,0.1
4,devstack-vagrant,0.39,1.31
5,grenade,0.0,6.7
6,hacking,0.0,7.38
7,heat-cfnclient,0.0,0.5
8,openstack-nose,0.0,0.37
9,oslo-cookiecutter,0.0,2.07
10,pbr,0.0,9.24
11,specs-cookiecutter,0.0,0.44
12,activity-board,0.0,4.79
13,bugdaystats,0.0,0.19
14,devstack-gate,0.0,14.5
15,logstash-filters,0.0,0.6
16,nose-html-output,0.0,0.23
17,openstack-zuul-jobs,0.0,30.85
18,openstack-zuul-roles,0.0,1.21
19,os-loganalyze,0.0,1.88
20,project-config,0.0,266.35
21,release-tools,0.0,6.6
22,releasestatus,0.0,0.27
23,requestsexceptions,0.0,0.32
24,reviewday,0.0,1.21
25,reviewstats,0.0,5.3
26,shade,0.0,33.94
27,tripleo-ci,0.0,40.78
28,zuul-packaging,0.0,0.23
29,adjutant,0.0,4.95
30,adjutant-ui,0.0,1.52
31,anchor,0.0,7.9
32,ansible-config_template,0.0,5.27
33,ansible-hardening,0.0,12.14
34,ansible-role-atos-hsm,0.0,0.28
35,ansible-role-chrony,0.0,0.71
36,ansible-role-container-registry,0.0,1.65
37,ansible-role-k8s-cinder,0.0,0.69
38,ansible-role-k8s-cookiecutter,0.0,0.26
39,ansible-role-k8s-glance,0.0,0.67
40,ansible-role-k8s-keystone,0.0,1.08
41,ansible-role-k8s-mariadb,0.0,1.92
42,ansible-role-k8s-rabbitmq,0.0,0.14
43,ansible-role-k8s-tripleo,0.0,0.86
44,ansible-role-openstack-operations,0.0,1.27
45,ansible-role-python_venv_build,0.0,4.15
46,ansible-role-qdrouterd,0.0,0.94
47,ansible-role-redhat-subscription,0.0,1.13
48,ansible-role-systemd_mount,0.0,2.15
49,ansible-role-systemd_networkd,0.0,2.59
50,ansible-role-systemd_service,0.0,2.32
51,ansible-role-thales-hsm,0.0,0.49
52,ansible-role-tripleo-aodh,0.0,0.36
53,ansible-role-tripleo-barbican,0.0,0.36
54,ansible-role-tripleo-ceilometer,0.0,0.36
55,ansible-role-tripleo-cinder,0.0,0.36
56,ansible-role-tripleo-cookiecutter,0.0,1.04
57,ansible-role-tripleo-designate,0.0,0.36
58,ansible-role-tripleo-glance,0.0,0.36
59,ansible-role-tripleo-gnocchi,0.0,0.36
60,ansible-role-tripleo-haproxy,0.0,0.36
61,ansible-role-tripleo-heat,0.0,0.36
62,ansible-role-tripleo-horizon,0.0,0.36
63,ansible-role-tripleo-ironic,0.0,0.36
64,ansible-role-tripleo-keepalived,0.0,0.36
65,ansible-role-tripleo-keystone,0.0,0.45
66,ansible-role-tripleo-manila,0.0,0.36
67,ansible-role-tripleo-memcached,0.0,0.36
