,repo,commit,message
0,puppet-tripleo,fa9fbe51e9bc35d5e415d095d5b9f6ee3a976256,"Merge ""Remove manifests for networking-ansible plugin"""
1,puppet-tripleo,91eb4140b5b8337cbd029a58ea1cb4c3bab3fa21,"Template option addition for --pids-limit on Galera cluster resource

mysql_bundle.pp has been modified to be able to configure --pids-limit option
using a template. By default the parameter remains 'undef' when not specified.
When ""tripleo::profile::pacemaker::database::mysql_bundle::pids_limit:"" is used
as an ExtraConfig it will automatically set the value in the Galera cluster
resource.

Closes-Bug: #1982751

Change-Id: Iffe9c9a1d7ca736f273d2da43928d7da4a99d1d6
"
2,puppet-tripleo,cd794e51ea8e22e03f5dc622fa3d4026fe339d07,"Remove manifests for VPP and Neutron ML2/VPP plugin

... because these services are no longer supported by t-h-t. This
allows us to remove puppet-fdio, which looks unmaintained, from
the dependencies.

Depends-on: https://review.opendev.org/864605
Change-Id: Ibe0a59ad3dd9069e9650036cb2af31a3b9ddfb69
"
3,puppet-tripleo,6872a3ef82ecbb4d906a05c9bc75842c19ba3b15,"Remove manifests for networking-ansible plugin

... because it is no longer supported by t-h-t.

Depends-on: https://review.opendev.org/864607
Change-Id: Ie76536c8e3f80feee09ff5b5f8781e938a6e3e56
"
4,puppet-tripleo,a7487743e5d2bb7ca4ab739263f0baa16740ff01,"Support for Cinder IBM Svf driver

This patch adds support for Cinder IBM Spectrum virtualize family (Svf)
driver.

Depends-On: I43f954879de6ce70237cb468e7ef1fbc2649edcd
Change-Id: I3c74f492d9d34eb8e16d9a203b5f02714b02f69a
"
5,puppet-tripleo,b3be1dc18c8284852905797d91b67d2dcd6a1a10,"Support deploying additional internal glance-api service

OSSN-0090 [1] recommends deploying two instances of the glance-api
service: a ""user facing"" service, plus an ""internal"" service that is
accessible via keystone's internal endpoint.

To support this, the tripleo::profile::base::glance::api class is
enhanced to allow overriding certain associated glance::api parameters.
This makes it possible to override parameters when including the
glance::api class in order to facilitate configuring two different
instances of the glance-api service, each with their own configuration.

The tripleo::haproxy class is enhanced to provide HA support for running
the internal glance-api service on its own TCP port (defaults to 9293).

[1] https://wiki.openstack.org/wiki/OSSN/OSSN-0090

Change-Id: Ideb5a951d538d9e2c7cca11dfe0e8b99520de959
"
6,puppet-tripleo,d649079ee75fc6d033832d09facc4e379c1a5fd2,"Merge ""Disable keystone domain creation by keystone::ldap_backend"""
7,puppet-tripleo,85876847c8a5208ef15501f494b44936c5537400,"Merge ""fencing: Remove unused logic to detect deployment type"""
8,puppet-tripleo,109a62a61e06b44e4764258082cb47c57409afeb,"Correct TLS cert permission

This patch corrects file permission of cert directory and certificates
for QDR.

Change-Id: I5a8e4b3598d5e5a30ec967fba504bac91c7f51ec
"
9,puppet-tripleo,171814ebbab2db3d1554d580f48fb92f95617e3a,"Allow passing aditional arguments to wsrep_provider_options

This commit allows to inject arbitrary arguments into the
wsrep_provider_options string.
Operators should be extremely careful in doing so as there is no
validation or syntax checking whatsoever.

Example:

ExtraConfig:
  tripleo::profile::pacemaker::database::mysql_bundle::provider_options: 'evs.suspect_timeout=PT30S'

results in:

wsrep_provider_options = evs.suspect_timeout=PT30S;gcache.recover=no;gmcast.listen_addr=tcp://172.17.0.151:4567;socket.ssl_key=/etc/pki/tls/private/mysql.key;socket.ssl_cert=/etc/pki/tls/certs/mysql.crt;socket.ssl_cipher=AES128-SHA256;socket.ssl_ca=/etc/ipa/ca.crt;

Change-Id: Ie4711ace66846b10252bccdddae84e045af3f604
"
