,name,pp_percentage
0,bashate,0.0
1,cookiecutter,0.0
2,devstack,0.0
3,devstack-plugin-cookiecutter,0.0
4,devstack-vagrant,0.39
5,grenade,0.0
6,hacking,0.0
7,heat-cfnclient,0.0
8,openstack-nose,0.0
9,oslo-cookiecutter,0.0
10,pbr,0.0
11,specs-cookiecutter,0.0
12,activity-board,0.0
13,bugdaystats,0.0
14,devstack-gate,0.0
15,logstash-filters,0.0
16,nose-html-output,0.0
17,openstack-zuul-jobs,0.0
18,openstack-zuul-roles,0.0
19,os-loganalyze,0.0
20,project-config,0.0
21,release-tools,0.0
22,releasestatus,0.0
23,requestsexceptions,0.0
24,reviewday,0.0
25,reviewstats,0.0
26,shade,0.0
27,tripleo-ci,0.0
28,zuul-packaging,0.0
29,adjutant,0.0
30,adjutant-ui,0.0
31,anchor,0.0
32,ansible-config_template,0.0
33,ansible-hardening,0.0
34,ansible-role-atos-hsm,0.0
35,ansible-role-chrony,0.0
36,ansible-role-container-registry,0.0
37,ansible-role-k8s-cinder,0.0
38,ansible-role-k8s-cookiecutter,0.0
39,ansible-role-k8s-glance,0.0
40,ansible-role-k8s-keystone,0.0
41,ansible-role-k8s-mariadb,0.0
42,ansible-role-k8s-rabbitmq,0.0
43,ansible-role-k8s-tripleo,0.0
44,ansible-role-openstack-operations,0.0
45,ansible-role-python_venv_build,0.0
46,ansible-role-qdrouterd,0.0
47,ansible-role-redhat-subscription,0.0
48,ansible-role-systemd_mount,0.0
49,ansible-role-systemd_networkd,0.0
50,ansible-role-systemd_service,0.0
51,ansible-role-thales-hsm,0.0
52,ansible-role-tripleo-aodh,0.0
53,ansible-role-tripleo-barbican,0.0
54,ansible-role-tripleo-ceilometer,0.0
55,ansible-role-tripleo-cinder,0.0
56,ansible-role-tripleo-cookiecutter,0.0
57,ansible-role-tripleo-designate,0.0
58,ansible-role-tripleo-glance,0.0
59,ansible-role-tripleo-gnocchi,0.0
60,ansible-role-tripleo-haproxy,0.0
61,ansible-role-tripleo-heat,0.0
62,ansible-role-tripleo-horizon,0.0
63,ansible-role-tripleo-ironic,0.0
64,ansible-role-tripleo-keepalived,0.0
65,ansible-role-tripleo-keystone,0.0
66,ansible-role-tripleo-manila,0.0
67,ansible-role-tripleo-memcached,0.0
68,ansible-role-tripleo-mistral,0.0
69,ansible-role-tripleo-modify-image,0.0
70,ansible-role-tripleo-neutron,0.0
71,ansible-role-tripleo-nova,0.0
72,ansible-role-tripleo-octavia,0.0
73,ansible-role-tripleo-opendaylight,0.0
74,ansible-role-tripleo-ovn,0.0
75,ansible-role-tripleo-panko,0.0
76,ansible-role-tripleo-qdrouterd,0.0
77,ansible-role-tripleo-rabbitmq,0.0
78,ansible-role-tripleo-rsyslog-sidecar,0.0
79,ansible-role-tripleo-sahara,0.0
80,ansible-role-tripleo-sensu,0.0
81,ansible-role-tripleo-swift,0.0
82,ansible-role-tripleo-tacker,0.0
83,ansible-role-tripleo-tempest,0.0
84,ansible-role-tripleo-ui,0.0
85,ansible-role-tripleo-zaqar,0.0
86,aodh,0.0
87,api-sig,0.0
88,api-site,0.0
89,app-catalog,0.0
90,app-catalog-common,0.0
91,app-catalog-ui,0.0
92,arch-design,0.0
93,arch-wg,0.0
94,astara,0.0
95,astara-appliance,0.0
96,astara-horizon,0.0
97,astara-neutron,0.0
98,automaton,0.0
99,bandit,0.0
