,name,c2,files,pp_files,forked
0,openstack-fedora-specs,0.0,53,0,0
1,gosa-openstack,0.0,4,0,0
2,openstack-utils,0.0,1,0,0
3,openstack-dashboard,0.0,272,0,0
4,keystone,0.0,0,0,1
5,cloudpipe-image-auto-creation,0.0,4,0,0
6,osagent,0.0,17,0,0
7,tempest,0.0,0,0,1
8,fuelweb,0.0,2,0,0
9,openstack-lbaas,0.0,127,0,0
10,puppetlabs-openstack,0.0,0,0,1
11,puppetlabs-apt,0.0,0,0,1
12,puppet-concat,0.0,0,0,1
13,puppet-galera,0.0,0,0,1
14,puppetlabs-git,0.0,0,0,1
15,puppetlabs-glance,0.0,0,0,1
16,puppet-haproxy,0.0,0,0,1
17,puppetlabs-horizon,0.0,0,0,1
18,puppet-module-keepalived,0.0,0,0,1
19,puppetlabs-keystone,0.0,0,0,1
20,puppet-memcached,0.0,0,0,1
21,puppet-mmm,0.0,0,0,1
22,puppetlabs-mysql,0.0,0,0,1
23,puppetlabs-nova,0.0,0,0,1
24,puppetlabs-rabbitmq,0.0,0,0,1
25,puppetlabs-rsync,0.0,0,0,1
26,puppet-ssh,0.0,0,0,1
27,puppetlabs-stdlib,0.0,0,0,1
28,puppetlabs-swift,0.0,0,0,1
29,puppetlabs-sysctl,0.0,0,0,1
30,puppetlabs-vcsrepo,0.0,0,0,1
31,puppetlabs-xinetd,0.0,0,0,1
32,openstack-lbaas-cli,0.0,33,0,0
33,openstack-horizon,0.0,0,0,1
34,nova,0.0,0,0,1
35,swift-encrypt,0.0,300,0,0
36,puppetlabs-cinder,0.0,0,0,1
37,openstack-lbaas-horizon,0.0,1,0,0
38,fuel,0.0,1,0,0
39,astute,0.0,1,0,0
40,devops,0.0,1,0,0
41,murano-tests,0.0,33,0,0
42,nova-scheduler-volume-affinity-filter,0.0,11,0,0
43,fuelweb-test,0.0,75,0,0
44,stackalytics,0.0,191,0,0
45,fuel-docs,0.0,1,0,0
46,fuel-test,0.0634920634920634,126,8,0
47,puppet-heat,0.0,52,0,0
48,puppet-savanna,0.1425061425061425,407,58,0
49,ruby-openstack,0.0,0,0,1
50,fuel-main,0.0,1,0,0
51,rally,0.0,2,0,0
52,fuel-provision,0.0,1,0,0
53,magnetodb,0.0,1,0,0
54,oscp,0.0,100,0,0
55,lsi-api,0.0,24,0,0
56,launchpad-reports-summary,0.0,65,0,0
57,certification_tool,0.0,52,0,0
58,mos-iso-status,0.0,5,0,0
59,disk_perf_test_tool,0.0,158,0,0
60,mos-tempest-runner,0.0,34,0,0
61,openstack-ha-tests,0.0,24,0,0
62,catalog,0.0,27,0,0
63,moscc-cli-smoketest,0.0,2,0,0
64,vmware-dvs,0.0,182,0,0
65,puppet-sudo,0.2307692307692307,39,9,0
66,ldaptlssearch,0.0,2,0,0
67,solar,0.1139240506329113,553,63,0
68,air-hockey-robot,0.0,148,0,0
69,puppet-bootstrap,0.0,12,0,0
70,puppet-control-template,0.0714285714285714,42,3,0
71,profiles,0.7358490566037735,53,39,0
72,roles,0.6333333333333333,30,19,0
73,pmlc_nova,0.55,20,11,0
74,pmlc_cinder,0.4615384615384615,13,6,0
75,pmlc_neutron,0.5,22,11,0
76,pmlc_keystone,0.4,15,6,0
77,puppet-foreman_proxy,0.3478260869565217,69,24,0
78,puppet-deployapp,0.4,25,10,0
79,tools-sustaining,0.0,58,0,0
80,zabbix-configuration-files,0.0,5,0,0
81,bareon-api,0.0,44,0,0
82,solar-qa,0.0,0,0,1
83,puppet-kafka,0.0,0,0,1
84,puppet-zookeeper,0.0,0,0,1
85,vmware-firewall-driver,0.0,14,0,0
86,discovery,0.0,0,0,1
87,fuel-bootstrap-image-builder,0.0,0,0,1
88,fuel-agent,0.0,0,0,1
89,celebrer,0.0,36,0,0
90,celebrer-agent,0.0,17,0,0
91,celebrer-dashboard,0.0,22,0,0
92,python-celebrerclient,0.0,18,0,0
93,fuel-plugin-celebrer,0.5,30,15,0
94,solar-resources,0.1779661016949152,354,63,0
95,solar-agent,0.0,12,0,0
96,fuel-plugin-swift,0.238095238095238,21,5,0
97,fuel-plugin-backup,0.1818181818181818,22,4,0
98,mos-integration-tests,0.0,234,0,0
99,mos-ci-deployment-scripts,0.0,241,0,0
100,mos-ci-jenkinsjobs,0.0,0,0,1
101,tuning-box,0.0,43,0,0
102,fuel-plugin-openldap,0.33,52,17,0
103,fuel-plugin-standalone-ceph,0.48,31,15,0
104,fuel-plugin-etckeeper,0.13,23,3,0
105,mos-components-ci,0.0,151,0,0
106,f2s,0.0,21,0,0
107,puppet-manifests,0.0,0,0,1
108,kostyor,0.0,81,0,0
109,fuel-plugin-external-ceph,0.48,25,12,0
110,mos-horizon,0.0,2301,0,0
111,fuel-plugin-vxlan-vlan-7,0.12,16,2,0
112,fuel-plugin-docs,0.0,29,0,0
113,mos-coverage,0.0,1,0,0
114,northshore,0.0,14802,0,0
115,ceph,0.0,3527,0,0
116,teuthology,0.0,262,0,0
117,ceph-cm-ansible,0.0,322,0,0
118,ceph-qa-suite,0.0,1500,0,0
119,fuel-plugin-lcm,0.3023,129,39,0
120,fuel-plugin-lcm-control-repo,0.0,0,0,1
121,ceph-monitoring,0.0,54,0,0
122,mira-ceph-ansible,0.0,9,0,0
123,ceph-lcm,0.0,989,0,0
124,k8s-AppController,0.0,232,0,0
125,CloudFerry,0.0,437,0,0
126,kostyor-cli,0.0,27,0,0
127,virtlet,0.0,536,0,0
128,k8s-devbox,0.0,30,0,0
129,ccp-pipeline-libs,0.0,7,0,0
130,ccp-docker-jenkins,0.0,30,0,0
131,ccp-docker-gerrit,0.0,11,0,0
